ticker,fiscal_year,accession,drift_score,n_new,n_modified,n_removed,n_total_risks,removal_rate,new_rate,modified_rate,theme_supply_chain,theme_supply_chain_count,theme_cybersecurity,theme_cybersecurity_count,theme_regulatory,theme_regulatory_count,theme_litigation,theme_litigation_count,theme_macro,theme_macro_count,theme_talent,theme_talent_count,theme_climate,theme_climate_count,theme_concentration,theme_concentration_count,theme_liquidity,theme_liquidity_count,theme_ai_technology,theme_ai_technology_count,cash_and_equivalents,eps_basic,eps_diluted,net_income,operating_cash_flow,operating_income,revenue,rnd_expense,stockholders_equity,total_assets,total_liabilities,net_margin,operating_margin,leverage,roe,asset_turnover,cash_ratio,rnd_intensity,filing_date,period_of_report,reporting_lag_days,fwd_return,market_return,excess_return
AAPL,2019,0000320193-19-000119,0.1087,0,5,4,46,0.08695652173913043,0.0,0.10869565217391304,0.2,1,0.0,0,0.4,2,0.4,2,0.0,0,0.4,2,0.2,1,0.0,0,0.0,0,0.0,0,48844000000.0,11.97,11.89,55256000000.0,69391000000.0,63930000000.0,260174000000.0,16217000000.0,90488000000.0,338516000000.0,248028000000.0,0.21238094505984456,0.24572017188496928,0.7326921031797611,0.6106445053487756,0.7685722388306608,0.1442886008342294,0.06233136285716482,2019-10-31,2019-09-28,33,0.3077411332992764,0.08207471003202511,0.22566642326725128
AAPL,2020,0000320193-20-000096,0.2545,0,14,0,55,0.0,0.0,0.2545454545454545,0.35714285714285715,5,0.0,0,0.35714285714285715,5,0.2857142857142857,4,0.07142857142857142,1,0.35714285714285715,5,0.14285714285714285,2,0.0,0,0.0,0,0.0,0,38016000000.0,3.31,3.28,57411000000.0,80674000000.0,66288000000.0,274515000000.0,18752000000.0,65339000000.0,323888000000.0,258549000000.0,0.20913611278072236,0.24147314354406862,0.7982666847799239,0.8786635853012749,0.8475615027416885,0.11737390702959048,0.06830956414039306,2020-10-30,2020-09-26,34,0.2614963022508736,0.16138815368201764,0.10010814856885597
AAPL,2021,0000320193-21-000105,0.5574,0,34,10,61,0.16393442622950818,0.0,0.5573770491803278,0.4117647058823529,14,0.08823529411764706,3,0.3235294117647059,11,0.20588235294117646,7,0.0,0,0.20588235294117646,7,0.058823529411764705,2,0.0,0,0.029411764705882353,1,0.0,0,34940000000.0,5.67,5.61,94680000000.0,104038000000.0,108949000000.0,365817000000.0,21914000000.0,63090000000.0,351002000000.0,287912000000.0,0.2588179335569424,0.29782377527561593,0.8202574344305731,1.5007132667617689,1.042207736708053,0.09954359234420317,0.059904269074427925,2021-10-29,2021-09-25,34,0.06443515963967215,-0.05769181976921118,0.12212697940888334
AAPL,2022,0000320193-22-000108,0.2903,1,17,8,62,0.12903225806451613,0.016129032258064516,0.27419354838709675,0.5555555555555556,10,0.16666666666666666,3,0.2777777777777778,5,0.0,0,0.05555555555555555,1,0.3333333333333333,6,0.2222222222222222,4,0.0,0,0.05555555555555555,1,0.0,0,23646000000.0,6.15,6.11,99803000000.0,122151000000.0,119437000000.0,394328000000.0,26251000000.0,50672000000.0,352755000000.0,302083000000.0,0.2530964070519973,0.30288744395528594,0.8563535598361469,1.9695887275023682,1.1178523337727317,0.067032359569673,0.06657148363798665,2022-10-28,2022-09-24,34,-0.07410559500388823,0.04521274359914779,-0.11931833860303602
AAPL,2023,0000320193-23-000106,0.2063,0,13,8,63,0.12698412698412698,0.0,0.20634920634920634,0.46153846153846156,6,0.3076923076923077,4,0.15384615384615385,2,0.15384615384615385,2,0.07692307692307693,1,0.23076923076923078,3,0.07692307692307693,1,0.07692307692307693,1,0.0,0,0.07692307692307693,1,29965000000.0,6.16,6.13,96995000000.0,110543000000.0,114301000000.0,383285000000.0,29915000000.0,62146000000.0,352583000000.0,290437000000.0,0.2530623426432028,0.2982141226502472,0.8237407929480435,1.5607601454639075,1.087077369016657,0.08498708105609176,0.07804897139204509,2023-11-03,2023-09-30,34,0.05919163345281158,0.12996250085324357,-0.07077086740043198
AAPL,2024,0000320193-24-000123,0.2222,0,14,8,63,0.12698412698412698,0.0,0.2222222222222222,0.5,7,0.14285714285714285,2,0.42857142857142855,6,0.14285714285714285,2,0.0,0,0.07142857142857142,1,0.14285714285714285,2,0.07142857142857142,1,0.0,0,0.14285714285714285,2,29943000000.0,6.11,6.08,93736000000.0,118254000000.0,123216000000.0,391035000000.0,31370000000.0,56950000000.0,364980000000.0,308030000000.0,0.23971255769943867,0.31510222870075566,0.8439640528248123,1.6459350307287095,1.0713874732862074,0.08204011178694723,0.08022299794136074,2024-11-01,2024-09-28,34,0.067028824073047,0.06310657319096072,0.003922250882086281
ABBV,2019,0001551152-20-000007,0.2632,0,10,2,38,0.05263157894736842,0.0,0.2631578947368421,0.2,2,0.0,0,0.6,6,0.4,4,0.2,2,0.2,2,0.1,1,0.0,0,0.3,3,0.0,0,39924000000.0,5.3,5.28,7882000000.0,13324000000.0,12983000000.0,33266000000.0,,-8172000000.0,89115000000.0,,0.23693861600432875,0.3902783622918295,,-0.9645129711209006,0.37329293609381137,0.4480053862986029,,2020-02-21,2019-12-31,52,-0.005820435601745954,-0.11054923080460088,0.10472879520285493
ABBV,2020,0001551152-21-000008,0.4884,0,21,8,43,0.18604651162790697,0.0,0.4883720930232558,0.5238095238095238,11,0.0,0,0.42857142857142855,9,0.14285714285714285,3,0.09523809523809523,2,0.14285714285714285,3,0.047619047619047616,1,0.0,0,0.09523809523809523,2,0.0,0,8449000000.0,2.73,2.72,4616000000.0,17588000000.0,11363000000.0,45804000000.0,,13076000000.0,150565000000.0,,0.10077722469653305,0.24807877041306436,,0.3530131538696849,0.30421412678909443,0.056115299040281605,,2021-02-19,2020-12-31,50,0.12878695836592574,0.0682258565624955,0.060561101803430245
ABBV,2021,0001551152-22-000007,0.186,0,8,7,43,0.16279069767441862,0.0,0.18604651162790697,0.625,5,0.0,0,0.75,6,0.25,2,0.0,0,0.25,2,0.125,1,0.0,0,0.125,1,0.0,0,9746000000.0,6.48,6.45,11542000000.0,22777000000.0,17924000000.0,56197000000.0,,15408000000.0,146529000000.0,,0.2053846290727263,0.31894941011086003,,0.7490913811007269,0.3835213507223826,0.06651243098635765,,2022-02-18,2021-12-31,49,0.062344565813608546,-0.10031547197478614,0.1626600377883947
ABBV,2022,0001551152-23-000011,0.4118,0,21,7,51,0.13725490196078433,0.0,0.4117647058823529,0.42857142857142855,9,0.0,0,0.5714285714285714,12,0.047619047619047616,1,0.23809523809523808,5,0.23809523809523808,5,0.047619047619047616,1,0.0,0,0.047619047619047616,1,0.0,0,9201000000.0,6.65,6.63,11836000000.0,24943000000.0,18117000000.0,58054000000.0,,17254000000.0,138805000000.0,,0.20387914700106796,0.31207151961966445,,0.6859858583516866,0.4182414178163611,0.06628723749144483,,2023-02-17,2022-12-31,48,-0.04329160680883565,0.033320285117236066,-0.0766118919260717
